Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Nada,"Cali Y El Dandee, Danna Paola","['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",76,0.684,0.808,-2.737,0.061,0.0518,0.0858,173.905,174027,0.712
safety net (feat. Ty Dolla $ign),Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",70,0.552,0.599,-5.75,0.0404,0.0703,0.0986,161.884,208457,0.0916
shut up,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",63,0.499,0.462,-5.308,0.0312,0.801,0.0946,127.698,157710,0.599
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,['australian hip hop'],76,0.779,0.642,-6.321,0.116,0.0383,0.2,82.363,153147,0.388
Ayer Me Llam? Mi Ex (feat. Lenny Santos),KHEA,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']",71,0.752,0.716,-5.2,0.0325,0.254,0.243,117.007,206760,0.553
Madrid (feat. Myke Towers),Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",73,0.764,0.741,-3.617,0.101,0.239,0.107,170.081,198570,0.802
Caramelo - Remix,"Ozuna, KAROL G, Myke Towers","['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",72,0.754,0.796,-3.743,0.139,0.062,0.204,168.045,233160,0.62
Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",75,0.647,0.667,-5.563,0.304,0.231,0.133,172.08,193839,0.704
Got It On Me,Pop Smoke,['brooklyn drill'],78,0.688,0.647,-7.258,0.19,0.00815,0.095,88.834,164580,0.195
my hair,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",66,0.686,0.526,-6.842,0.0374,0.0815,0.144,92.013,158436,0.372
obvious,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",65,0.624,0.672,-5.334,0.106,0.0967,0.155,159.852,146959,0.26
Beautiful People (feat. Khalid),Ed Sheeran,"['pop', 'uk pop']",79,0.64,0.648,-8.113,0.187,0.124,0.0802,92.977,197867,0.548
Favorito,Camilo,"['colombian pop', 'reggaeton colombiano']",73,0.611,0.851,-2.982,0.0598,0.229,0.232,178.032,211613,0.823
After Party,Don Toliver,"['rap', 'trap']",80,0.629,0.692,-8.045,0.0376,0.00981,0.603,162.948,167916,0.453
six thirty,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",63,0.739,0.516,-7.154,0.0539,0.67,0.151,120.109,183874,0.434
love language,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",62,0.688,0.573,-5.03,0.208,0.0686,0.0749,110.034,179861,0.553
west side,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",62,0.688,0.455,-8.632,0.199,0.186,0.0794,87.865,132279,0.557
Thriller,Michael Jackson,"['pop', 'r&b', 'soul']",68,0.764,0.887,-3.726,0.0744,0.0816,0.847,118.427,358053,0.72
Dancing With A Stranger (with Normani),Sam Smith,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",78,0.741,0.52,-7.513,0.0656,0.45,0.222,102.998,171030,0.347
Angeklagt,Bonez MC,"['german hip hop', 'hamburg hip hop']",60,0.658,0.624,-9.155,0.0915,0.171,0.116,181.942,168991,0.314
Kids Again,Sam Smith,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",62,0.666,0.726,-2.998,0.0262,0.486,0.0892,128.044,207528,0.468
Me Gusta (with Cardi B & Myke Towers),Anitta,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",72,0.91,0.604,-4.392,0.082,0.448,0.0863,110.075,180788,0.807
24 (feat. Lil Baby),Money Man,"['memphis hip hop', 'rap', 'southern hip hop', 'trap']",74,0.868,0.638,-7.746,0.0736,0.146,0.0931,126.03,182857,0.459
Relaci?n,Sech,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",80,0.793,0.771,-3.417,0.0959,0.0337,0.284,171.943,247308,0.835
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,"['rap', 'slap house']",74,0.835,0.699,-5.405,0.277,0.00671,0.195,154.981,202795,0.547
Bet You Wanna (feat. Cardi B),BLACKPINK,"['k-pop', 'k-pop girl group']",67,0.653,0.662,-6.168,0.162,0.00465,0.0626,111.712,161168,0.674
Wolves (feat. Post Malone),Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79,0.724,0.675,-5.267,0.0867,0.0978,0.351,160.048,199758,0.325
"thank u, next",Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",82,0.717,0.653,-5.634,0.0658,0.229,0.101,106.966,207320,0.412
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul","['dance pop', 'pop', 'pop rap']",74,0.894,0.635,-6.929,0.0473,0.193,0.0823,105.013,249143,0.428
Fake,"Lauv, Conan Gray","['dance pop', 'electropop', 'pop', 'post-teen pop']",73,0.703,0.657,-5.363,0.0783,0.139,0.093,82.96,146375,0.455
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",['pop rap'],79,0.716,0.537,-7.648,0.0514,0.233,0.157,129.979,165978,0.28
Mamichula - con Nicki Nicole,"Trueno, Bizarrap, Taiu, TATOOL","['argentine hip hop', 'trap argentino', 'trap latino']",75,0.696,0.678,-5.893,0.0735,0.582,0.134,91.985,219202,0.346
Let Her Go,Passenger,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",75,0.479,0.545,-7.346,0.0688,0.365,0.0963,74.897,252733,0.243
Play Date,Melanie Martinez,"['alt z', 'electropop', 'modern rock', 'pop']",80,0.68,0.729,-5.077,0.0475,0.612,0.224,123.97,179867,0.446
Lose Somebody,"Kygo, OneRepublic","['edm', 'pop', 'pop dance', 'tropical house']",75,0.58,0.586,-6.883,0.0357,0.344,0.0755,147.988,199549,0.507
Someone Like You,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",77,0.556,0.319,-8.251,0.0281,0.893,0.0996,135.187,285240,0.294
It's You,Ali Gatie,"['canadian hip hop', 'pop']",81,0.732,0.463,-6.972,0.0287,0.374,0.194,95.971,212607,0.397
Love To Hate Me,BLACKPINK,"['k-pop', 'k-pop girl group']",69,0.686,0.64,-5.491,0.159,0.0334,0.0801,162.225,171798,0.597
Bande organis?e,"13 Organis?, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari","['french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']",72,0.901,0.939,-2.762,0.274,0.117,0.0643,142.948,356347,0.805
Crazy Over You,BLACKPINK,"['k-pop', 'k-pop girl group']",68,0.804,0.633,-6.186,0.0612,0.0371,0.102,115.002,163946,0.67
"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,"['dance pop', 'electropop', 'pop', 'post-teen pop']",69,0.737,0.867,-2.259,0.0458,0.0398,0.32,98.05,175873,0.506
TKN (feat. Travis Scott),ROSAL?A,['r&b en espanol'],75,0.776,0.509,-6.266,0.467,0.192,0.115,94.634,129371,0.485
El Mismo Aire - con Pablo Albor?n,Camilo,"['colombian pop', 'reggaeton colombiano']",75,0.483,0.492,-6.591,0.295,0.603,0.323,144.511,188213,0.66
Yo Perreo Sola,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",78,0.86,0.758,-5.16,0.0695,0.021,0.344,97.014,172127,0.453
Let Me Love You Like A Woman,Lana Del Rey,"['art pop', 'pop']",67,0.303,0.249,-11.715,0.111,0.97,0.117,66.932,200661,0.131
Eleg? (feat. D?melo Flow),"Rauw Alejandro, Dalex, Lenny Tav?rez","['puerto rican pop', 'trap latino']",75,0.824,0.631,-2.791,0.0809,0.237,0.0531,171.965,197721,0.678
July,Noah Cyrus,"['alt z', 'dance pop', 'pop', 'post-teen pop']",81,0.708,0.186,-8.953,0.042,0.868,0.0779,72.541,156106,0.322
Bruises,Lewis Capaldi,"['pop', 'uk pop']",80,0.736,0.308,-7.83,0.0677,0.946,0.186,111.202,220492,0.361
You Never Know,BLACKPINK,"['k-pop', 'k-pop girl group']",54,0.535,0.434,-5.768,0.0505,0.405,0.253,144.497,229236,0.271
Supalonely,"BENEE, Gus Dapperton","['alt z', 'nz pop', 'pop']",77,0.863,0.631,-4.689,0.0534,0.305,0.123,128.977,223480,0.817
Glock In My Lap,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",69,0.847,0.733,-6.439,0.16,0.00574,0.151,130.029,193591,0.202
Better,ZAYN,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",68,0.637,0.418,-7.137,0.301,0.353,0.131,84.295,174517,0.0807
forget me too (feat. Halsey),Machine Gun Kelly,"['ohio hip hop', 'pop rap']",78,0.654,0.875,-4.845,0.0744,0.000417,0.194,99.975,171621,0.522
Oh Juliana,Niack,['funk carioca'],66,0.799,0.568,-3.089,0.25,0.387,0.0892,129.63,153078,0.963
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix","Feid, J Balvin, Justin Quiles","['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino']",70,0.793,0.737,-4.731,0.0785,0.0765,0.0747,167.969,333800,0.697
No Guidance (feat. Drake),Chris Brown,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",80,0.696,0.454,-6.756,0.153,0.123,0.155,92.928,260640,0.136
Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",73,0.825,0.733,-5.625,0.0969,0.349,0.112,97.974,190331,0.62
Many Men,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",65,0.635,0.793,-4.333,0.0322,0.000647,0.113,77.594,201856,0.281
Slidin,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",64,0.774,0.706,-6.494,0.355,0.00163,0.104,152.891,185037,0.382
Outta Time (feat. Drake),Bryson Tiller,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",68,0.714,0.582,-7.272,0.0808,0.0129,0.0774,92.819,198822,0.338
My Dawg,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",60,0.831,0.532,-5.319,0.301,0.0652,0.464,140.105,181716,0.364
Snitches & Rats (feat. Young Nudy),"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",57,0.821,0.671,-5.893,0.18,0.00843,0.0972,145.953,187773,0.494
Brand New Draco,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",63,0.697,0.709,-6.642,0.298,0.041,0.0886,155.023,202420,0.439
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,"['pop rap', 'rap', 'trap']",69,0.832,0.549,-8.259,0.0602,0.168,0.11,140.045,181496,0.384
Your Man,Joji,"['alternative r&b', 'viral pop']",68,0.785,0.818,-8.711,0.099,0.624,0.149,117.98,163759,0.0503
No Opp Left Behind,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",61,0.823,0.703,-2.691,0.298,0.0161,0.294,178.043,194214,0.26
Lets Link,WhoHeem,['viral rap'],61,0.839,0.683,-9.232,0.165,0.00667,0.241,120.003,159955,0.522
RIP Luv,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",62,0.63,0.399,-9.869,0.178,0.105,0.234,183.016,214192,0.0657
Steppin On Niggas,"21 Savage, Metro Boomin","['atl hip hop', 'hip hop', 'rap', 'trap']",57,0.849,0.635,-4.068,0.254,0.000608,0.062,89.484,140833,0.798
Gimme Love,Joji,"['alternative r&b', 'viral pop']",69,0.482,0.631,-6.917,0.0986,0.696,0.209,126.576,214558,0.0743
Ew,Joji,"['alternative r&b', 'viral pop']",67,0.48,0.373,-9.297,0.0278,0.804,0.12,114.078,207710,0.0376
Daylight,"Joji, Diplo","['alternative r&b', 'viral pop']",72,0.528,0.749,-7.571,0.0479,0.00488,0.0949,163.944,163906,0.729
Epidemic,Polo G,['chicago rap'],71,0.616,0.617,-8.431,0.52,0.128,0.177,175.929,177273,0.476
bloody valentine,Machine Gun Kelly,"['ohio hip hop', 'pop rap']",77,0.533,0.858,-4.212,0.0766,0.00021,0.148,160.057,205159,0.506
MODUS,Joji,"['alternative r&b', 'viral pop']",66,0.738,0.533,-7.617,0.0492,0.183,0.115,132.008,207265,0.262
Tick Tock,Joji,"['alternative r&b', 'viral pop']",65,0.781,0.613,-5.582,0.0524,0.0399,0.0976,80.53,132215,0.613
Sanctuary,Joji,"['alternative r&b', 'viral pop']",69,0.552,0.65,-7.199,0.128,0.422,0.372,167.788,180019,0.316
feel something,Bea Miller,"['alt z', 'dance pop', 'electropop', 'indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rap', 'post-teen pop', 'talent show']",75,0.74,0.415,-8.914,0.0707,0.242,0.319,136.029,180161,0.156
Tap In,Saweetie,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",73,0.954,0.696,-7.117,0.204,0.00576,0.0754,100.036,139413,0.432
Pretty Boy (feat. Lil Yachty),Joji,"['alternative r&b', 'viral pop']",66,0.656,0.776,-6.184,0.0672,0.16,0.372,156.049,156759,0.638
Afterthought,"Joji, BENEE","['alternative r&b', 'viral pop']",67,0.668,0.547,-8.024,0.0353,0.398,0.0931,83.5,194871,0.192
Over Now (with The Weeknd),Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",72,0.612,0.884,-4.113,0.0454,0.0759,0.247,178.043,210795,0.679
Hate The Other Side (with Marshmello & The Kid Laroi),"Juice WRLD, Polo G","['chicago rap', 'melodic rap']",78,0.701,0.65,-6.313,0.104,0.291,0.112,90.003,160212,0.647
drunk face,Machine Gun Kelly,"['ohio hip hop', 'pop rap']",72,0.691,0.77,-4.578,0.0367,0.0282,0.497,90.024,143901,0.344
Tak Tiki Tak,Harry Nach,"['trap chileno', 'trap latino']",71,0.801,0.579,-4.78,0.0813,0.333,0.172,99.994,212406,0.231
WHATS POPPIN,Jack Harlow,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']",80,0.904,0.723,-5.224,0.26,0.0631,0.185,145.013,227478,0.835
Money Trees,"Kendrick Lamar, Jay Rock","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",75,0.716,0.531,-7.355,0.122,0.0703,0.224,71.994,386907,0.344
Blastoff (feat. Juice Wrld & Trippie Redd),"Internet Money, Diplo","['pop rap', 'rap', 'trap']",70,0.761,0.517,-6.916,0.0927,0.114,0.157,147.912,174730,0.46
September,"Earth, Wind & Fire","['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",80,0.697,0.832,-7.264,0.0298,0.168,0.269,125.926,215093,0.979
Secrets,"Regard, RAYE","['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",78,0.848,0.768,-5.386,0.0373,0.0412,0.195,118.961,176767,0.777
21,Polo G,['chicago rap'],80,0.783,0.479,-10.646,0.541,0.149,0.101,176.027,163798,0.533
DEUX TOILES DE MER,Damso,"['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap belge', 'rap conscient']",62,0.521,0.39,-9.726,0.128,0.582,0.112,104.106,315640,0.157
exile (feat. Bon Iver),Taylor Swift,"['pop', 'post-teen pop']",77,0.298,0.38,-8.426,0.0287,0.778,0.11,75.602,285634,0.152
Righteous,Juice WRLD,"['chicago rap', 'melodic rap']",78,0.706,0.625,-7.426,0.0314,0.0417,0.129,142.948,242181,0.225
Conversations,Juice WRLD,"['chicago rap', 'melodic rap']",75,0.747,0.622,-5.825,0.0838,0.176,0.151,159.93,181661,0.57
Dolly (with Lil Uzi Vert),Lil Tecca,"['melodic rap', 'rap', 'trap']",63,0.664,0.586,-7.813,0.238,0.212,0.216,88.502,179813,0.589
Chicago Freestyle (feat. Giveon),Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",80,0.735,0.449,-7.507,0.347,0.629,0.113,122.947,220488,0.0397
GOOBA,6ix9ine,"['emo rap', 'rap']",70,0.611,0.688,-5.688,0.341,0.0264,0.251,178.462,132303,0.393
Physical,Dua Lipa,"['dance pop', 'pop', 'uk pop']",77,0.647,0.844,-3.756,0.0457,0.0137,0.102,146.967,193829,0.746
Hot Stuff,"Kygo, Donna Summer","['edm', 'pop', 'pop dance', 'tropical house']",71,0.681,0.773,-5.749,0.148,0.019,0.11,119.961,199008,0.429
Who's Laughing Now,Ava Max,"['dance pop', 'pop']",73,0.648,0.641,-5.521,0.0389,0.00565,0.109,184.021,180348,0.505
Sweet but Psycho,Ava Max,"['dance pop', 'pop']",81,0.72,0.706,-4.719,0.0473,0.0684,0.166,133.002,187436,0.62
Del Mar,"Ozuna, Doja Cat, Sia","['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",79,0.759,0.636,-5.585,0.0369,0.0224,0.166,109.976,214507,0.536
Hit Different,"SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign","['pop', 'pop rap', 'r&b']",74,0.679,0.516,-6.371,0.0452,0.199,0.0965,120.074,202008,0.716
Nobody's Love,Maroon 5,"['pop', 'pop rock']",73,0.485,0.567,-6.456,0.0388,0.316,0.0949,93.676,211254,0.157
M?quina do Tempo,Matu?,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",70,0.629,0.727,-4.387,0.0499,0.0647,0.138,149.978,230400,0.132
Fuckst mich nur ab,Bonez MC,"['german hip hop', 'hamburg hip hop']",63,0.817,0.468,-10.945,0.287,0.233,0.0905,104.875,182931,0.237
Jangueo,"Alex Rose, Rafa Pab?n","['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",74,0.861,0.678,-4.157,0.0536,0.253,0.106,103.994,259600,0.723
We Paid (feat. 42 Dugg),Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",76,0.926,0.542,-5.064,0.293,0.135,0.0877,135.14,181929,0.564
Ihr Hobby,"Bonez MC, Maxwell","['german hip hop', 'hamburg hip hop']",59,0.774,0.814,-6.145,0.0584,0.204,0.118,109.019,185330,0.254
When I Look At You,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",63,0.459,0.545,-4.874,0.0282,0.142,0.105,137.941,248587,0.194
Boss Bitch,Doja Cat,"['dance pop', 'pop']",81,0.707,0.955,-4.593,0.222,0.127,0.202,125.989,134240,0.575
Ain't It Different (feat. AJ Tracey & Stormzy),Headie One,['uk hip hop'],69,0.767,0.569,-6.805,0.216,0.00988,0.109,77.052,196363,0.524
Some Say - Felix Jaehn Remix,Nea,"['scandipop', 'swedish pop']",77,0.682,0.7,-5.591,0.0397,0.406,0.174,120.03,186878,0.637
Savage Remix (feat. Beyonc?),"Beyonc?, Megan Thee Stallion","['dance pop', 'pop', 'post-teen pop', 'r&b']",73,0.822,0.743,-4.772,0.28,0.016,0.127,84.459,242001,0.636
Lithuania (feat. Travis Scott),Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",62,0.676,0.82,-5.217,0.0554,0.0493,0.615,152.028,199250,0.618
"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",64,0.948,0.63,-7.011,0.219,0.00647,0.0737,100.032,253569,0.425
Not Shy,ITZY,['k-pop girl group'],73,0.776,0.911,-3.08,0.131,0.155,0.268,101.027,177728,0.56
"The Plan - From the Motion Picture ""TENET""",Travis Scott,"['rap', 'slap house']",67,0.433,0.443,-10.568,0.0361,0.0922,0.117,79.903,185851,0.0363
ADMV,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",72,0.565,0.39,-4.959,0.0556,0.817,0.126,163.781,193700,0.708
Alane,"Robin Schulz, Wes","['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",67,0.581,0.799,-6.66,0.164,0.0419,0.11,124.002,175016,0.662
THE BADDEST,"K/DA, (G)I-DLE, Wolftyla, Bea Miller, League of Legends",['k-pop girl group'],70,0.676,0.857,-4.368,0.0438,0.0215,0.254,149.981,162600,0.717
Desce Pro Play (PA PA PA),"Mc Zaac, Anitta, Tyga","['funk carioca', 'funk pop']",68,0.935,0.71,-5.085,0.158,0.0769,0.173,100.009,168507,0.635
Mariposa,Peach Tree Rascals,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']",76,0.676,0.525,-5.88,0.028,0.617,0.356,112.011,210000,0.421
the 1,Taylor Swift,"['pop', 'post-teen pop']",75,0.777,0.357,-6.942,0.0522,0.757,0.108,139.883,210252,0.172
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin","['dance pop', 'pop', 'pop rap']",78,0.721,0.716,-7.037,0.0657,0.0334,0.237,104.994,221714,0.667
Unterwegs,"KitschKrieg, Jamule, SFR","['german hip hop', 'german pop', 'hamburg hip hop']",68,0.88,0.607,-7.067,0.0777,0.195,0.15,126.039,233905,0.823
What's Love Got to Do with It,"Kygo, Tina Turner","['edm', 'pop', 'pop dance', 'tropical house']",74,0.75,0.664,-5.908,0.154,0.275,0.0632,105.023,208156,0.617
Cry About It Later,Katy Perry,"['dance pop', 'pop', 'post-teen pop']",67,0.676,0.794,-4.78,0.0366,0.0513,0.0723,125.957,159286,0.161
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,['jawaiian'],70,0.824,0.854,-5.312,0.177,0.016,0.117,95.114,210329,0.896
Gifted (feat. Roddy Ricch),Cordae,"['dmv rap', 'hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop', 'vapor trap']",65,0.653,0.603,-5.697,0.171,0.175,0.18,151.016,168477,0.551
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott","['rap', 'trap']",82,0.802,0.591,-4.895,0.225,0.0104,0.196,139.864,157712,0.309
Anaranjado,"Jowell & Randy, J Balvin","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",66,0.763,0.58,-6.196,0.144,0.0466,0.154,175.937,212011,0.608
Reggaetonera,Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",69,0.694,0.796,-4.164,0.0565,0.48,0.108,93.064,212312,0.515
Sour Candy (with BLACKPINK),Lady Gaga,"['dance pop', 'pop', 'post-teen pop']",70,0.752,0.87,-3.812,0.0623,0.0604,0.489,120.006,157707,0.784
Rags2Riches 2 (feat. Lil Baby),Rod Wave,['florida rap'],60,0.874,0.443,-9.628,0.241,0.147,0.124,118.004,235988,0.298
Bandit (with YoungBoy Never Broke Again),Juice WRLD,"['chicago rap', 'melodic rap']",81,0.474,0.631,-5.884,0.343,0.0687,0.132,180.051,189323,0.425
PAM,"Justin Quiles, Daddy Yankee, El Alfa","['latin', 'reggaeton', 'trap latino']",73,0.889,0.863,-3.011,0.0757,0.289,0.0798,112.953,201000,0.776
Lemonade,"Internet Money, Gunna, Don Toliver, NAV","['pop rap', 'rap', 'trap']",82,0.799,0.66,-6.153,0.079,0.256,0.111,140.04,195429,0.471
Fr?hst?ck in Paris,"Capital Bra, Cro",['german hip hop'],56,0.744,0.644,-5.562,0.0641,0.229,0.204,96.852,151360,0.577
ON,BTS,"['k-pop', 'k-pop boy group']",77,0.583,0.817,-5.146,0.0987,0.118,0.338,105.936,246381,0.438
My Oasis (feat. Burna Boy),Sam Smith,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",69,0.691,0.474,-8.742,0.0583,0.569,0.099,143.783,179917,0.381
Life's A Mess (feat. Halsey),Juice WRLD,"['chicago rap', 'melodic rap']",74,0.63,0.446,-8.9,0.0351,0.337,0.166,143.078,202193,0.177
2012,"Bausa, Juju","['german hip hop', 'german pop']",62,0.805,0.619,-7.907,0.0771,0.218,0.114,98.995,170200,0.476
august,Taylor Swift,"['pop', 'post-teen pop']",76,0.532,0.623,-9.208,0.0331,0.538,0.0925,89.937,261923,0.403
if i were u (with Lauv),blackbear,"['electropop', 'pop', 'pop rap']",64,0.666,0.628,-5.613,0.0623,0.144,0.189,82.992,186468,0.767
Ballin' (with Roddy Ricch),Mustard,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",80,0.809,0.545,-6.678,0.0735,0.392,0.151,97.008,180435,0.244
Stay Gold,BTS,"['k-pop', 'k-pop boy group']",73,0.723,0.634,-5.415,0.0542,0.0892,0.0787,129.017,243267,0.582
I'm Yours,Jason Mraz,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",80,0.686,0.457,-8.322,0.0468,0.595,0.105,150.953,242187,0.718
Youngblood,5 Seconds of Summer,"['boy band', 'dance pop', 'electropop', 'pop', 'post-teen pop']",80,0.596,0.854,-5.114,0.463,0.0169,0.124,120.274,203418,0.152
the last great american dynasty,Taylor Swift,"['pop', 'post-teen pop']",71,0.686,0.662,-8.505,0.0413,0.467,0.109,147.922,230999,0.706
Levitating (feat. Madonna and Missy Elliott) [The Blessed Madonna Remix],Dua Lipa,"['dance pop', 'pop', 'uk pop']",62,0.808,0.655,-7.34,0.139,0.0373,0.208,116.029,250280,0.56
my tears ricochet,Taylor Swift,"['pop', 'post-teen pop']",71,0.456,0.263,-10.63,0.0332,0.806,0.0749,129.86,255894,0.111
Rags2Riches (feat. ATR Son Son),Rod Wave,['florida rap'],55,0.904,0.26,-17.57,0.101,0.277,0.121,117.967,167147,0.231
Rover (feat. DTG),S1mba,"['afroswing', 'social media pop']",73,0.613,0.624,-6.66,0.206,0.496,0.283,62.948,167917,0.804
Only You Freestyle,"Headie One, Drake",['uk hip hop'],68,0.68,0.826,-2.561,0.27,0.562,0.254,146.95,248937,0.804
Hallucinate,Dua Lipa,"['dance pop', 'pop', 'uk pop']",72,0.627,0.69,-5.396,0.139,0.033,0.0742,122.053,208505,0.627
El Efecto,"Rauw Alejandro, Chencho Corleone","['puerto rican pop', 'trap latino']",76,0.849,0.781,-4.635,0.159,0.406,0.0801,84.041,217143,0.893
Co?o,"Jason Derulo, Puri, Jhorrmountain","['dance pop', 'pop', 'pop rap', 'post-teen pop']",69,0.899,0.528,-5.442,0.181,0.000554,0.105,100.037,111852,0.456
Jolie nana,Aya Nakamura,"['basshall', 'francoton']",69,0.813,0.64,-5.908,0.272,0.269,0.131,92.989,147076,0.488
Lovefool,twocolors,"['edm', 'pop dance', 'pop edm', 'tropical house']",79,0.677,0.766,-6.896,0.0568,0.0219,0.129,123.062,190488,0.198
invisible string,Taylor Swift,"['pop', 'post-teen pop']",71,0.653,0.452,-11.143,0.055,0.838,0.108,83.433,252881,0.45
Higher Love,"Kygo, Whitney Houston","['edm', 'pop', 'pop dance', 'tropical house']",79,0.693,0.678,-7.159,0.0324,0.0151,0.101,103.952,228267,0.404
Como Llora,Juanfran,"['dominican pop', 'pop reggaeton', 'urbano espanol']",67,0.827,0.629,-3.966,0.185,0.183,0.084,88.064,187500,0.486
Walk Em Down (feat. Roddy Ricch),NLE Choppa,"['melodic rap', 'rap', 'trap']",74,0.867,0.744,-5.171,0.227,0.268,0.0713,84.005,173288,0.645
Wow.,Post Malone,"['dfw rap', 'melodic rap', 'rap']",80,0.829,0.539,-7.359,0.208,0.136,0.103,99.96,149547,0.388
mirrorball,Taylor Swift,"['pop', 'post-teen pop']",70,0.553,0.413,-10.037,0.0334,0.687,0.0594,110.107,208978,0.379
seven,Taylor Swift,"['pop', 'post-teen pop']",69,0.596,0.488,-10.769,0.0274,0.9,0.091,94.926,208907,0.415
this is me trying,Taylor Swift,"['pop', 'post-teen pop']",70,0.515,0.476,-9.843,0.0328,0.314,0.171,135.886,195097,0.412
