Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Star Shopping,Lil Peep,"['emo rap', 'lgbtq+ hip hop']",82,0.585,0.471,-9.934,0.0616,0.0967,0.115,93.099,142000,0.323
Electric Love,B¨ªRNS,"['modern alternative rock', 'modern rock', 'pop']",83,0.611,0.797,-7.627,0.0533,0.00543,0.26,120.041,218107,0.518
Maniac,Conan Gray,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",82,0.628,0.639,-5.46,0.0435,0.00162,0.354,108.045,185773,0.493
Only Wanna Be With You - Pok?mon 25 Version,Post Malone,"['dfw rap', 'melodic rap', 'rap']",72,0.47,0.709,-4.563,0.0299,0.00124,0.302,98.036,241360,0.247
test drive,Ariana Grande,"['dance pop', 'pop', 'post-teen pop']",71,0.698,0.708,-4.943,0.0454,0.0251,0.124,115.036,122174,0.322
T? Me Dejaste De Querer,"C. Tangana, Ni?o de Elche, La H?ngara",['urbano espanol'],75,0.823,0.723,-4.778,0.229,0.311,0.0998,83.97,198493,0.505
SO DONE,The Kid LAROI,['australian hip hop'],74,0.719,0.598,-6.254,0.077,0.232,0.115,142.592,126521,0.303
Jeans,Justin Quiles,"['latin', 'reggaeton', 'trap latino']",75,0.807,0.656,-4.395,0.105,0.0165,0.0693,83.943,185840,0.89
ROXANNE,Arizona Zervas,"['pop rap', 'rhode island rap']",82,0.621,0.601,-5.616,0.148,0.0522,0.46,116.735,163636,0.457
rockstar (feat. 21 Savage),Post Malone,"['dfw rap', 'melodic rap', 'rap']",83,0.585,0.52,-6.136,0.0712,0.124,0.131,159.801,218147,0.129
P?rteme La Cara,"C. Tangana, Ed Maverick",['urbano espanol'],70,0.761,0.296,-10.22,0.0484,0.551,0.134,127.938,167867,0.579
Without Me,Halsey,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",79,0.752,0.488,-7.05,0.0705,0.297,0.0936,136.041,201661,0.533
BOOKER T,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",77,0.883,0.6,-7.188,0.37,0.114,0.0931,113.903,156430,0.691
